iter	Passed	Remaining
0	146	292373
1	208	207848
2	293	195305
3	380	189768
4	478	190992
5	535	177915
6	585	166808
7	644	160426
8	703	155577
9	755	150380
10	814	147207
11	870	144248
12	924	141235
13	973	138060
14	1042	137913
15	1091	135322
16	1149	134086
17	1197	131873
18	1248	130152
19	1301	128863
20	1350	127256
21	1405	126411
22	1462	125701
23	1513	124633
24	1562	123461
25	1614	122544
26	1664	121633
27	1719	121093
28	1776	120756
29	1834	120486
30	1889	119991
31	1942	119450
32	1989	118610
33	2039	117956
34	2087	117191
35	2133	116420
36	2197	116603
37	2259	116641
38	2327	117036
39	2384	116836
40	2434	116314
41	2499	116525
42	2554	116242
43	2602	115704
44	2648	115047
45	2696	114543
46	2753	114415
47	2804	114059
48	2855	113693
49	2906	113334
50	2965	113330
51	3019	113122
52	3065	112615
53	3110	112096
54	3155	111590
55	3205	111281
56	3252	110856
57	3295	110354
58	3341	109945
59	3386	109501
60	3434	109182
61	3483	108894
62	3530	108540
63	3576	108180
64	3620	107769
65	3664	107392
66	3714	107173
67	3765	106971
68	3814	106743
69	3868	106670
70	3921	106531
71	3970	106319
72	4019	106098
73	4068	105891
74	4117	105694
75	4165	105456
76	4211	105180
77	4256	104876
78	4303	104636
79	4353	104491
80	4406	104403
81	4458	104277
82	4509	104157
83	4563	104091
84	4610	103863
85	4657	103660
86	4703	103412
87	4751	103238
88	4799	103064
89	4848	102895
90	4894	102685
91	4940	102466
92	4986	102254
93	5034	102075
94	5083	101940
95	5129	101733
96	5184	101712
97	5230	101507
98	5275	101306
99	5321	101101
100	5367	100925
101	5416	100792
102	5461	100581
103	5506	100393
104	5562	100396
105	5611	100271
106	5661	100167
107	5713	100092
108	5765	100015
109	5815	99914
110	5863	99784
111	5909	99617
112	5953	99410
113	6003	99321
114	6047	99122
115	6103	99131
116	6149	98967
117	6194	98803
118	6252	98836
119	6296	98651
120	6343	98511
121	6399	98509
122	6449	98415
123	6499	98337
124	6547	98214
125	6594	98079
126	6643	97973
127	6693	97889
128	6740	97762
129	6788	97643
130	6838	97558
131	6886	97451
132	6935	97353
133	6998	97457
134	7046	97346
135	7091	97190
136	7135	97030
137	7179	96871
138	7226	96750
139	7274	96651
140	7324	96570
141	7370	96445
142	7416	96308
143	7462	96180
144	7508	96051
145	7551	95894
