date,open,high,low,close,volume,money
2005-01-04,179.52,179.52,175.98,177.62,64637.0,11465603.0
2005-01-05,177.62,178.44,172.99,175.98,118279.0,20718559.0
2005-01-06,177.07,179.52,175.71,177.62,97879.0,17333840.0
2005-01-07,179.25,179.8,175.98,177.35,69237.0,12302853.0
2005-01-10,177.35,179.52,173.53,179.52,96618.0,17111498.0
2005-01-12,179.8,180.07,176.26,177.89,60152.0,10672635.0
2005-01-13,177.89,179.8,177.07,178.98,58761.0,10504590.0
2005-01-14,179.25,179.8,176.8,177.07,58908.0,10476658.0
2005-01-17,176.26,176.26,169.17,170.26,116416.0,20039971.0
2005-01-18,170.26,171.35,167.54,169.45,95139.0,16109620.0
2005-01-19,169.45,170.26,167.54,167.81,61867.0,10416563.0
2005-01-20,167.81,167.81,162.91,163.72,144958.0,23815009.0
2005-01-21,163.45,177.07,159.37,174.62,368470.0,62408193.0
2005-01-24,179.8,181.16,173.8,176.26,237074.0,41761044.0
2005-01-25,175.71,175.98,170.81,171.9,128485.0,22142394.0
2005-01-26,171.62,175.98,169.99,171.62,93149.0,16124242.0
2005-01-27,171.35,171.62,166.45,167.27,92688.0,15671762.0
2005-01-28,166.99,168.36,164.81,168.08,85577.0,14212959.0
2005-01-31,167.54,167.54,164.27,165.09,68197.0,11288374.0
2005-02-01,165.36,168.63,165.09,165.9,78070.0,13006364.0
2005-02-02,166.18,174.62,165.9,174.35,209113.0,35957947.0
2005-02-03,174.35,175.44,171.62,171.9,152000.0,26337392.0
2005-02-04,171.62,183.61,169.99,179.8,327361.0,58460211.0
2005-02-16,179.8,181.98,177.89,179.52,155337.0,27970435.0
2005-02-17,179.8,180.89,177.35,178.71,111152.0,19839010.0
2005-02-18,179.25,181.98,178.44,179.8,145534.0,26213869.0
2005-02-21,180.61,184.43,180.61,182.79,237165.0,43335847.0
2005-02-22,182.79,184.16,179.8,183.61,287885.0,52460968.0
2005-02-23,183.61,184.43,180.07,181.7,187941.0,34215337.0
2005-02-24,181.98,181.98,178.98,180.61,183072.0,32969255.0
2005-02-25,180.61,184.16,180.61,180.89,207690.0,37865716.0
2005-02-28,180.89,181.16,175.44,176.53,189369.0,33546810.0
2005-03-01,176.53,177.07,173.8,174.35,123475.0,21592546.0
2005-03-02,174.35,176.26,173.26,173.8,113055.0,19739123.0
2005-03-03,173.8,175.71,172.99,175.44,65339.0,11399016.0
2005-03-04,175.44,175.44,172.44,173.26,79881.0,13861124.0
2005-03-07,172.44,173.8,169.72,169.99,116490.0,19970363.0
2005-03-08,173.8,173.8,170.26,172.99,167459.0,28709799.0
2005-03-09,173.26,173.8,169.99,171.35,159904.0,27405674.0
2005-03-10,171.08,171.08,166.99,167.81,151039.0,25487681.0
2005-03-11,166.18,168.08,165.63,166.72,133122.0,22164102.0
2005-03-14,166.72,168.08,164.0,165.63,135575.0,22469620.0
2005-03-15,166.18,167.54,162.36,163.18,159054.0,26068269.0
2005-03-16,163.18,163.45,160.73,161.55,117500.0,19019884.0
2005-03-17,161.82,164.27,161.55,162.63,105533.0,17202351.0
2005-03-18,163.45,164.81,160.73,161.55,117870.0,19121018.0
2005-03-21,161.55,163.45,160.73,161.82,67581.0,10936012.0
2005-03-22,163.18,163.45,150.1,150.92,192211.0,29748205.0
2005-03-23,150.92,152.01,145.47,146.02,218996.0,32514008.0
2005-03-24,146.29,148.47,144.93,147.11,194950.0,28537971.0
2005-03-25,147.11,148.2,145.47,147.11,93565.0,13743520.0
2005-03-28,146.56,147.11,142.75,144.38,100765.0,14545215.0
2005-03-29,144.38,146.29,143.84,144.38,70656.0,10245726.0
2005-03-30,144.38,144.38,137.57,138.93,155410.0,21780402.0
2005-03-31,138.66,142.48,137.84,141.93,125120.0,17553914.0
2005-04-01,141.66,156.1,139.48,152.56,257127.0,38229996.0
2005-04-04,150.38,152.01,146.02,147.65,197085.0,29392985.0
2005-04-05,147.65,152.83,147.11,149.56,165564.0,24840491.0
2005-04-06,149.83,154.46,147.11,152.83,194009.0,29248053.0
2005-04-07,155.28,168.08,155.28,168.08,919227.0,152371698.0
2005-04-08,171.35,184.97,168.36,184.97,1824991.0,320033427.0
2005-04-11,185.25,201.32,180.34,189.06,2044824.0,390768305.0
2005-04-12,187.42,188.24,180.34,180.89,1069484.0,196698219.0
2005-04-13,182.52,194.24,181.98,187.42,1506846.0,284353272.0
2005-04-14,186.61,187.15,177.62,179.8,746279.0,135473534.0
2005-04-15,177.07,184.43,173.8,180.61,675524.0,121206909.0
2005-04-18,179.25,179.25,172.99,175.17,374400.0,65648150.0
2005-04-19,175.17,184.97,174.62,183.88,704962.0,127516858.0
2005-04-20,179.8,183.61,175.71,180.61,485006.0,87204359.0
2005-04-22,167.81,174.35,162.63,162.91,914508.0,152338280.0
2005-04-25,158.0,159.37,147.11,157.73,603483.0,92417042.0
2005-04-26,157.19,166.99,155.28,164.81,531806.0,85802178.0
2005-04-27,164.81,164.81,154.73,155.82,403050.0,63958179.0
2005-04-28,155.28,164.0,149.29,160.18,486872.0,77119703.0
2005-04-29,160.18,176.26,158.0,168.9,867313.0,146846534.0
2005-05-09,169.72,170.81,162.91,165.9,355844.0,59428487.0
2005-05-10,165.9,173.26,162.63,171.9,397967.0,67332306.0
2005-05-11,171.08,174.35,166.72,168.63,392293.0,66813691.0
2005-05-12,168.36,172.71,167.27,168.63,291449.0,49387037.0
2005-05-13,168.63,169.99,160.73,164.0,409226.0,67292190.0
2005-05-16,164.0,164.0,156.91,160.73,199918.0,32003585.0
2005-05-17,160.73,167.54,158.28,165.09,223714.0,36815800.0
2005-05-18,165.09,168.9,164.54,167.27,191052.0,31843283.0
2005-05-19,167.27,170.81,163.72,168.9,267947.0,45054190.0
2005-05-20,169.45,172.71,166.72,169.17,362715.0,61928409.0
2005-05-23,166.99,167.81,162.36,162.36,303348.0,49957549.0
2005-05-24,162.09,169.72,161.0,167.81,256721.0,42826925.0
2005-05-25,168.36,171.08,166.18,168.08,202877.0,34222409.0
2005-05-26,167.81,169.17,166.72,167.27,160377.0,26903132.0
2005-05-27,167.27,171.08,166.72,167.54,199396.0,33668510.0
2005-05-30,166.18,167.54,160.73,166.18,213073.0,35028504.0
2005-05-31,166.18,167.81,162.09,163.72,220231.0,36305938.0
2005-06-01,163.72,164.54,161.55,162.09,141660.0,23047623.0
2005-06-02,162.09,164.0,155.28,157.46,289130.0,45884840.0
2005-06-03,157.46,163.45,155.55,158.82,243915.0,38920534.0
2005-06-06,158.55,162.36,155.55,161.82,182134.0,29060143.0
2005-06-07,162.91,166.18,160.73,161.82,255703.0,41759293.0
2005-06-08,161.55,177.89,161.55,176.8,808003.0,138782547.0
2005-06-09,176.8,180.89,173.8,176.53,780818.0,138010351.0
2005-06-10,175.71,188.79,174.35,179.25,943703.0,171604813.0
2005-06-13,179.25,182.52,173.8,177.07,505232.0,89578752.0
2005-06-14,177.07,182.52,173.8,174.08,380417.0,67648831.0
2005-06-15,172.99,174.89,168.63,169.45,266618.0,45629289.0
2005-06-16,169.45,174.89,169.45,173.53,245773.0,42332446.0
2005-06-20,173.26,177.07,165.36,174.08,559793.0,96519912.0
2005-06-21,174.89,177.89,171.9,174.08,348343.0,61052706.0
2005-06-22,174.89,177.89,174.08,176.53,321810.0,56644392.0
2005-06-23,175.98,177.62,168.36,169.72,421956.0,72681123.0
