NewsID	Category
83682	comp.graphics
69726	sci.space
70195	comp.graphics
72758	soc.religion.christian
37558	soc.religion.christian
39600	rec.motorcycles
96989	rec.motorcycles
37665	soc.religion.christian
28813	rec.motorcycles
20712	rec.motorcycles
49286	soc.religion.christian
65396	comp.graphics
78991	sci.space
16417	comp.graphics
19117	comp.graphics
93780	talk.politics.misc
68044	comp.graphics
99809	rec.motorcycles
26283	talk.politics.misc
35087	sci.space
56940	rec.motorcycles
23640	comp.graphics
86729	sci.space
28186	sci.space
99824	rec.motorcycles
12701	comp.graphics
21717	comp.graphics
33402	comp.graphics
17424	talk.politics.misc
31111	talk.politics.misc
28366	rec.motorcycles
56458	soc.religion.christian
27732	rec.motorcycles
10039	comp.graphics
30791	sci.space
57755	sci.space
44607	rec.motorcycles
69847	comp.graphics
51642	comp.graphics
64999	soc.religion.christian
70976	rec.motorcycles
78325	sci.space
58895	soc.religion.christian
49004	rec.motorcycles
87058	sci.space
99475	talk.politics.misc
61021	comp.graphics
23463	comp.graphics
91896	talk.politics.misc
64555	sci.space
17265	talk.politics.misc
52852	comp.graphics
96741	soc.religion.christian
99464	soc.religion.christian
97494	sci.space
62699	talk.politics.misc
61481	talk.politics.misc
21105	comp.graphics
58605	rec.motorcycles
25716	soc.religion.christian
65491	rec.motorcycles
11892	talk.politics.misc
80359	comp.graphics
76581	sci.space
21842	soc.religion.christian
58506	rec.motorcycles
65714	rec.motorcycles
11517	soc.religion.christian
91889	talk.politics.misc
91750	sci.space
40058	sci.space
40155	soc.religion.christian
44282	talk.politics.misc
61184	soc.religion.christian
16770	comp.graphics
61519	rec.motorcycles
29061	comp.graphics
42989	rec.motorcycles
15474	soc.religion.christian
74097	comp.graphics
47139	talk.politics.misc
42672	soc.religion.christian
57234	comp.graphics
46317	sci.space
67797	sci.space
16072	soc.religion.christian
32654	sci.space
54500	sci.space
41890	talk.politics.misc
74613	talk.politics.misc
13975	rec.motorcycles
55025	talk.politics.misc
98099	sci.space
72764	rec.motorcycles
87408	talk.politics.misc
22415	rec.motorcycles
15344	soc.religion.christian
65775	talk.politics.misc
97920	comp.graphics
61132	talk.politics.misc
51255	rec.motorcycles
47777	soc.religion.christian
71414	comp.graphics
72387	comp.graphics
52555	talk.politics.misc
44171	talk.politics.misc
27783	sci.space
93016	comp.graphics
51052	talk.politics.misc
77651	sci.space
61304	comp.graphics
46305	rec.motorcycles
67462	rec.motorcycles
49479	rec.motorcycles
83585	talk.politics.misc
42151	sci.space
84715	comp.graphics
16439	comp.graphics
77841	comp.graphics
73743	comp.graphics
56438	sci.space
75296	soc.religion.christian
22745	comp.graphics
49191	soc.religion.christian
93435	comp.graphics
41683	sci.space
83284	soc.religion.christian
58322	soc.religion.christian
41538	talk.politics.misc
20989	comp.graphics
97677	soc.religion.christian
34088	soc.religion.christian
40242	comp.graphics
46108	comp.graphics
32976	soc.religion.christian
35356	talk.politics.misc
81009	sci.space
46527	comp.graphics
16829	sci.space
98996	talk.politics.misc
31803	rec.motorcycles
46437	rec.motorcycles
42758	rec.motorcycles
21277	soc.religion.christian
26780	rec.motorcycles
43416	soc.religion.christian
27499	rec.motorcycles
18938	talk.politics.misc
77697	rec.motorcycles
39214	comp.graphics
25206	talk.politics.misc
74881	sci.space
16727	sci.space
85254	soc.religion.christian
76192	soc.religion.christian
49339	soc.religion.christian
17816	rec.motorcycles
85257	talk.politics.misc
21028	soc.religion.christian
50155	talk.politics.misc
87539	comp.graphics
52989	sci.space
97793	rec.motorcycles
17902	rec.motorcycles
95106	rec.motorcycles
72855	rec.motorcycles
32134	soc.religion.christian
35509	soc.religion.christian
27198	soc.religion.christian
83985	comp.graphics
23793	rec.motorcycles
39824	rec.motorcycles
43508	rec.motorcycles
40596	comp.graphics
71738	talk.politics.misc
24717	sci.space
30421	sci.space
52759	sci.space
57343	talk.politics.misc
55712	soc.religion.christian
15193	sci.space
83322	comp.graphics
99084	comp.graphics
17817	rec.motorcycles
26838	talk.politics.misc
83984	comp.graphics
63075	comp.graphics
83397	soc.religion.christian
66508	comp.graphics
54567	comp.graphics
55563	rec.motorcycles
15247	rec.motorcycles
85943	sci.space
57951	comp.graphics
17491	talk.politics.misc
91901	comp.graphics
22911	talk.politics.misc
26411	soc.religion.christian
17456	comp.graphics
21569	talk.politics.misc
52986	soc.religion.christian
69043	sci.space
38450	comp.graphics
77130	soc.religion.christian
37562	rec.motorcycles
50296	soc.religion.christian
13533	comp.graphics
50868	comp.graphics
11423	comp.graphics
19770	rec.motorcycles
65501	comp.graphics
44180	rec.motorcycles
82243	soc.religion.christian
23962	comp.graphics
26391	sci.space
93873	rec.motorcycles
19446	comp.graphics
75016	talk.politics.misc
34659	rec.motorcycles
27242	soc.religion.christian
43892	sci.space
23920	sci.space
36318	rec.motorcycles
58824	comp.graphics
54136	comp.graphics
42146	rec.motorcycles
11968	sci.space
89973	sci.space
44910	sci.space
91563	comp.graphics
78873	sci.space
13633	comp.graphics
24182	sci.space
48084	rec.motorcycles
97672	rec.motorcycles
87019	soc.religion.christian
90803	soc.religion.christian
34995	sci.space
80875	sci.space
50347	comp.graphics
12941	talk.politics.misc
30418	rec.motorcycles
96540	rec.motorcycles
57394	sci.space
32837	soc.religion.christian
32575	comp.graphics
32235	rec.motorcycles
27169	comp.graphics
90880	soc.religion.christian
60198	rec.motorcycles
15106	comp.graphics
82745	sci.space
53430	comp.graphics
71942	talk.politics.misc
81294	talk.politics.misc
75865	soc.religion.christian
64242	soc.religion.christian
82063	sci.space
59414	comp.graphics
27538	comp.graphics
46139	talk.politics.misc
46986	comp.graphics
25196	talk.politics.misc
90741	comp.graphics
