iter	RMSE
0	1.108237108
1	1.103033066
2	1.098622516
3	1.095376146
4	1.09221736
5	1.089807782
6	1.087825511
7	1.086051933
8	1.084056382
9	1.082673042
10	1.081047848
11	1.079674576
12	1.078522272
13	1.077267158
14	1.076167499
15	1.075180396
16	1.073617254
17	1.072631341
18	1.071321732
19	1.070390881
20	1.069504616
21	1.068595699
22	1.067713374
23	1.066328466
24	1.065434674
25	1.064620368
26	1.063907616
27	1.063139668
28	1.062402304
29	1.061408858
30	1.060757961
31	1.059884145
32	1.059226734
33	1.058562335
34	1.057899172
35	1.057246717
36	1.056494316
37	1.05582428
38	1.055226967
39	1.054585861
40	1.053902237
41	1.053292832
42	1.052304034
43	1.051763144
44	1.051204759
45	1.050653693
46	1.050136548
47	1.049658439
48	1.049040583
49	1.048494339
50	1.047765394
51	1.046970323
52	1.046489781
53	1.0460233
54	1.04558873
55	1.044772141
56	1.044220161
57	1.043762877
58	1.043339675
59	1.042902441
60	1.042464479
61	1.041942236
62	1.041490355
63	1.041027267
64	1.040618384
65	1.040221951
66	1.039717039
67	1.039155969
68	1.038633231
69	1.038212035
70	1.037708944
71	1.03730395
72	1.036840074
73	1.036396543
74	1.036015151
75	1.035586654
76	1.035155193
77	1.034790284
78	1.034379772
79	1.033918257
80	1.033530237
81	1.03307451
82	1.032690065
83	1.032210964
84	1.031860021
85	1.031502316
86	1.031160029
87	1.030812188
88	1.030463594
89	1.030080474
90	1.029744363
91	1.029365976
92	1.029038306
93	1.028665427
94	1.028239143
95	1.027868206
96	1.027426757
97	1.027080114
98	1.026741126
99	1.026432152
100	1.026075685
101	1.025706263
102	1.02540391
103	1.025124013
104	1.024812007
105	1.024500869
106	1.024193287
107	1.023868517
108	1.023550793
109	1.023227848
110	1.022961365
111	1.022653639
112	1.022409037
113	1.021985558
114	1.02173097
115	1.021318444
116	1.021031074
117	1.020747406
118	1.020391351
119	1.020157142
120	1.01984162
121	1.019521399
122	1.019273317
123	1.018944115
124	1.018697516
125	1.018449579
126	1.018096205
127	1.017737443
128	1.017505641
129	1.017235711
130	1.016999492
131	1.016753134
132	1.016506797
133	1.016139335
134	1.015857152
135	1.015613182
136	1.015388768
137	1.015180527
138	1.014912496
139	1.014665765
140	1.014418607
141	1.014165327
142	1.013951366
143	1.0137391
144	1.013528337
145	1.013338261
146	1.01314845
147	1.012961461
148	1.012655018
149	1.012437949
150	1.012241636
151	1.012026646
152	1.011834879
153	1.011652008
154	1.01146406
155	1.011257497
156	1.011028249
157	1.010818654
158	1.010597525
159	1.010424589
160	1.010247574
161	1.010065369
162	1.009861184
163	1.009656878
164	1.009480387
165	1.009269901
166	1.009088635
167	1.008921068
168	1.008751436
169	1.008571403
170	1.008395499
171	1.008154553
172	1.007861928
173	1.007669006
174	1.007474983
175	1.007318932
176	1.007160407
177	1.007013767
178	1.006852045
179	1.006663579
180	1.006470633
181	1.006318621
182	1.00612089
183	1.005930949
184	1.005782322
185	1.005611682
186	1.005440401
187	1.005264612
188	1.005074542
189	1.004885645
190	1.004726056
191	1.004565418
192	1.004407048
193	1.004253744
194	1.004086292
195	1.003914705
196	1.003718501
197	1.003570737
198	1.003435693
199	1.003283124
200	1.003129348
201	1.002980964
202	1.002847363
203	1.002693561
204	1.002539802
205	1.002402688
206	1.002195275
207	1.002066086
208	1.001937353
209	1.001810198
210	1.001571542
211	1.001432956
212	1.001294936
213	1.00116721
214	1.001044978
215	1.000922056
216	1.000795955
217	1.000680642
218	1.000545576
219	1.00043022
220	1.000310729
221	1.000199318
222	1.000039603
223	0.9998814458
224	0.9997701708
225	0.9996395894
226	0.9995141882
227	0.9993946867
228	0.9992845392
229	0.9991701359
230	0.9990290074
231	0.9988640417
232	0.9987625331
233	0.9986516195
234	0.9984983676
235	0.9983913636
236	0.9981768283
237	0.9980730575
238	0.9979734039
239	0.9978700798
240	0.9977702386
241	0.9976264006
242	0.9975047552
243	0.9973959076
244	0.9971471984
245	0.9970430949
246	0.9969202983
247	0.9968190169
248	0.996702581
249	0.9966040427
250	0.9964949944
251	0.9963401777
252	0.9962369712
253	0.9961328624
254	0.9960371695
255	0.9959432228
256	0.9958429876
257	0.9957519671
258	0.9956472987
259	0.9955459511
260	0.995414605
261	0.9953164078
262	0.995228531
263	0.9951241212
264	0.9950261725
265	0.994932303
266	0.9948228852
267	0.9947335131
268	0.9946417571
269	0.9945545314
270	0.9944574081
271	0.9943779463
272	0.9942857925
273	0.9941988482
274	0.9940853602
275	0.9939607176
276	0.9938541881
277	0.9937678968
278	0.9936718044
279	0.9935968856
280	0.9934869486
281	0.9933980114
282	0.9932774607
283	0.9932002411
284	0.9930991754
285	0.9930206656
286	0.9929413484
287	0.9928420899
288	0.9927534332
289	0.9925598658
290	0.9924835488
291	0.9923870749
292	0.9923116694
293	0.9922277554
294	0.9920910434
295	0.9919974448
296	0.9919165474
297	0.9918391243
298	0.9917630393
299	0.991667769
300	0.9915722037
301	0.9914864264
302	0.9914030925
303	0.9913115481
304	0.9912109966
305	0.9911362032
306	0.9910520898
307	0.9909735257
308	0.9909033308
309	0.99083016
310	0.9907396934
311	0.9906690588
312	0.9905726516
313	0.9905041185
314	0.9904299296
315	0.9903600311
316	0.9902554832
317	0.9901877826
318	0.9901180853
319	0.9899833634
320	0.9898943305
321	0.9898219814
322	0.9897429531
323	0.989663435
324	0.9895794084
325	0.9895157513
326	0.9894418419
327	0.9893580093
328	0.9892239773
329	0.9891380731
330	0.9890692573
331	0.9889924354
332	0.9888933086
333	0.9887982985
334	0.9887149103
335	0.9886463075
336	0.9885656249
337	0.988498442
338	0.9884326474
339	0.9883693057
340	0.9882921986
341	0.9882181391
342	0.9881514733
343	0.9880903893
344	0.988007193
345	0.9879494463
346	0.9878459923
347	0.9877778842
348	0.9876854103
349	0.9876288889
350	0.987555392
351	0.9874756617
352	0.9874172004
353	0.9873588309
354	0.98730194
355	0.9872403449
356	0.9871759755
357	0.9870974337
358	0.9870378368
359	0.9869826242
360	0.9869143921
361	0.9868602823
362	0.9868062561
363	0.9867240849
364	0.9866672669
365	0.9866122736
366	0.9865528516
367	0.9864920433
368	0.9863299506
369	0.986269609
370	0.9862128228
371	0.9861509271
372	0.9860996022
373	0.9860306199
