Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Conductivity,,Gradient Concentration,,
ml,mAU,ml,mS/cm,ml,%B,
0.003,136.89,0.003,0,0.003,0,
0.007,136.88,0.007,0,0.007,0,
0.01,136.88,0.01,0,0.01,0,
0.013,136.88,0.013,0,0.013,0,
0.017,136.8799,0.017,0,0.017,0,
0.02,136.8701,0.02,0,0.02,0,
0.023,136.87,0.023,0,0.023,0,
0.027,136.87,0.027,0,0.027,0,
0.03,136.87,0.03,0,0.03,0,
0.033,136.86,0.033,0,0.033,0,
0.037,136.86,0.037,0,0.037,0,
0.04,136.86,0.04,0,0.04,0,
0.043,136.86,0.043,0,0.043,0,
0.047,136.86,0.047,0,0.047,0,
0.05,136.86,0.05,0,0.05,0,
0.053,136.86,0.053,0,0.053,0,
0.057,136.85,0.057,0,0.057,0,
0.06,136.85,0.06,0,0.06,0,
0.063,136.85,0.063,0,0.063,0,
0.067,136.8499,0.067,0,0.067,0,
0.07,136.84,0.07,0,0.07,0,
0.073,136.84,0.073,0,0.073,0,
0.077,136.84,0.077,0,0.077,0,
0.08,136.8397,0.08,0,0.08,0,
0.083,136.83,0.083,0,0.083,0,
0.087,136.83,0.087,0,0.087,0,
0.09,136.83,0.09,0,0.09,0,
0.093,136.83,0.093,0,0.093,0,
0.097,136.8298,0.097,0,0.097,0,
0.1,136.82,0.1,0,0.1,0,
0.103,136.82,0.103,0,0.103,0,
0.107,136.82,0.107,0,0.107,0,
0.11,136.82,0.11,0,0.11,0,
0.113,136.82,0.113,0,0.113,0,
0.117,136.82,0.117,0,0.117,0,
0.12,136.82,0.12,0,0.12,0,
0.123,136.82,0.123,0,0.123,0,
0.127,136.82,0.127,0,0.127,0,
0.13,136.82,0.13,0,0.13,0,
0.133,136.82,0.133,0,0.133,0,
0.137,136.82,0.137,0,0.137,0,
0.14,136.82,0.14,0,0.14,0,
0.143,136.82,0.143,0,0.143,0,
0.147,136.82,0.147,0,0.147,0,
0.15,136.82,0.15,0,0.15,0,
0.153,136.82,0.153,0,0.153,0,
0.157,136.82,0.157,0,0.157,0,
0.16,136.82,0.16,0,0.16,0,
0.163,136.82,0.163,0,0.163,0,
0.167,136.82,0.167,0,0.167,0,
0.17,136.82,0.17,0,0.17,0,
0.173,136.82,0.173,0,0.173,0,
0.177,136.82,0.177,0,0.177,0,
0.18,136.82,0.18,0,0.18,0,
0.183,136.8199,0.183,0,0.183,0,
0.187,136.81,0.187,0,0.187,0,
0.19,136.81,0.19,0,0.19,0,
0.193,136.81,0.193,0,0.193,0,
0.197,136.8103,0.197,0,0.197,0,
0.2,136.82,0.2,0,0.2,0,
0.203,136.82,0.203,0,0.203,0,
0.207,136.82,0.207,0,0.207,0,
0.21,136.82,0.21,0,0.21,0,
0.213,136.82,0.213,0,0.213,0,
0.217,136.82,0.217,0,0.217,0,
0.22,136.82,0.22,0,0.22,0,
0.223,136.82,0.223,0,0.223,0,
0.227,136.82,0.227,0,0.227,0,
0.23,136.82,0.23,0,0.23,0,
0.233,136.8202,0.233,0,0.233,0,
0.237,136.8297,0.237,0,0.237,0,
0.24,136.82,0.24,0,0.24,0,
0.243,136.82,0.243,0,0.243,0,
0.247,136.82,0.247,0,0.247,0,
0.25,136.82,0.25,0,0.25,0,
0.253,136.82,0.253,0,0.253,0,
0.257,136.82,0.257,0,0.257,0,
0.26,136.8196,0.26,0,0.26,0,
0.263,136.81,0.263,0,0.263,0,
0.267,136.81,0.267,0,0.267,0,
0.27,136.81,0.27,0,0.27,0,
0.273,136.8098,0.273,0,0.273,0,
0.277,136.8,0.277,0,0.277,0,
0.28,136.8,0.28,0,0.28,0,
0.283,136.7998,0.283,0,0.283,0,
0.287,136.79,0.287,0,0.287,0,
0.29,136.79,0.29,0,0.29,0,
0.293,136.79,0.293,0,0.293,0,
0.297,136.7896,0.297,0,0.297,0,
0.3,136.7796,0.3,0,0.3,0,
0.303,136.77,0.303,0,0.303,0,
0.307,136.77,0.307,0,0.307,0,
0.31,136.7696,0.31,0,0.31,0,
0.313,136.7597,0.313,0,0.313,0,
0.317,136.75,0.317,0,0.317,0,
0.32,136.75,0.32,0,0.32,0,
0.323,136.7497,0.323,0,0.323,0,
0.327,136.7396,0.327,0,0.327,0,
0.33,136.73,0.33,0,0.33,0,
0.333,136.73,0.333,0,0.333,0,
0.337,136.7296,0.337,0,0.337,0,
0.34,136.7195,0.34,0,0.34,0,
0.343,136.71,0.343,0,0.343,0,
0.347,136.71,0.347,0,0.347,0,
0.35,136.7095,0.35,0,0.35,0,
0.353,136.7,0.353,0,0.353,0,
0.357,136.7,0.357,0,0.357,0,
0.36,136.6995,0.36,0,0.36,0,
0.363,136.6894,0.363,0,0.363,0,
0.367,136.67,0.367,0,0.367,0,
0.37,136.67,0.37,0,0.37,0,
0.373,136.6697,0.373,0,0.373,0,
0.377,136.6592,0.377,0,0.377,0,
0.38,136.64,0.38,0,0.38,0,
0.383,136.64,0.383,0,0.383,0,
0.387,136.6392,0.387,0,0.387,0,
0.39,136.619,0.39,0,0.39,0,
0.393,136.6,0.393,0,0.393,0,
0.397,136.6,0.397,0,0.397,0,
0.4,136.5995,0.4,0,0.4,0,
0.403,136.5897,0.403,0,0.403,0,
0.407,136.58,0.407,0,0.407,0,
0.41,136.58,0.41,0,0.41,0,
0.413,136.579,0.413,0,0.413,0,
0.417,136.5491,0.417,0,0.417,0,
0.42,136.53,0.42,0,0.42,0,
0.423,136.53,0.423,0,0.423,0,
0.427,136.5291,0.427,0,0.427,0,
0.43,136.5089,0.43,0,0.43,0,
0.433,136.49,0.433,0,0.433,0,
0.437,136.4891,0.437,0,0.437,0,
0.44,136.4689,0.44,0,0.44,0,
0.443,136.4496,0.443,0,0.443,0,
0.447,136.44,0.447,0,0.447,0,
0.45,136.4389,0.45,0,0.45,0,
0.453,136.4185,0.453,0,0.453,0,
0.457,136.38,0.457,0,0.457,0,
0.46,136.38,0.46,0,0.46,0,
0.463,136.3785,0.463,0,0.463,0,
0.467,136.3385,0.467,0,0.467,0,
0.47,136.31,0.47,0,0.47,0,
0.473,136.31,0.473,0,0.473,0,
0.477,136.3085,0.477,0,0.477,0,
0.48,136.2788,0.48,0,0.48,0,
0.483,136.26,0.483,0,0.483,0,
0.487,136.26,0.487,0,0.487,0,
0.49,136.2576,0.49,0,0.49,0,
0.493,136.2192,0.493,0,0.493,0,
0.497,136.2,0.497,0,0.497,0,
0.5,136.2,0.5,0,0.5,0,
0.503,136.1983,0.503,0,0.503,0,
0.507,136.159,0.507,0,0.507,0,
0.51,136.14,0.51,0,0.51,0,
0.513,136.1396,0.513,0,0.513,0,
0.517,136.1274,0.517,0,0.517,0,
0.52,136.0794,0.52,0,0.52,0,
0.523,136.07,0.523,0,0.523,0,
0.527,136.0689,0.527,0,0.527,0,
0.53,136.0488,0.53,0,0.53,0,
0.533,136.0291,0.533,0,0.533,0,
