Chrom.1,,Chrom.1,,Chrom.1,,
UV,,Conductivity,,Gradient Concentration,,
ml,mAU,ml,mS/cm,ml,%B,
0.003,0.42,0.003,36.19,0.003,0,
0.007,0.41,0.007,36.19,0.007,0,
0.01,0.41,0.01,36.19,0.01,0,
0.013,0.4099915,0.013,36.19,0.013,0,
0.017,0.399782,0.017,36.19,0.017,0,
0.02,0.3801687,0.02,36.19,0.02,0,
0.023,0.38,0.023,36.19,0.023,0,
0.027,0.3798828,0.027,36.19,0.027,0,
0.03,0.3700761,0.03,36.19,0.03,0,
0.033,0.37,0.033,36.19,0.033,0,
0.037,0.37,0.037,36.19,0.037,0,
0.04,0.37,0.04,36.19,0.04,0,
0.043,0.35,0.043,36.19,0.043,0,
0.047,0.35,0.047,36.19,0.047,0,
0.05,0.35,0.05,36.19,0.05,0,
0.053,0.3499154,0.053,36.19,0.053,0,
0.057,0.33,0.057,36.19,0.057,0,
0.06,0.33,0.06,36.19,0.06,0,
0.063,0.33,0.063,36.19,0.063,0,
0.067,0.33,0.067,36.19,0.067,0,
0.07,0.33,0.07,36.19,0.07,0,
0.073,0.33,0.073,36.19,0.073,0,
0.077,0.329837,0.077,36.19,0.077,0,
0.08,0.32,0.08,36.19,0.08,0,
0.083,0.32,0.083,36.19,0.083,0,
0.087,0.32,0.087,36.19,0.087,0,
0.09,0.3202672,0.09,36.19,0.09,0,
0.093,0.33,0.093,36.19,0.093,0,
0.097,0.33,0.097,36.19,0.097,0,
0.1,0.33,0.1,36.19,0.1,0,
0.103,0.3300846,0.103,36.19,0.103,0,
0.107,0.3401884,0.107,36.19,0.107,0,
0.11,0.35,0.11,36.19,0.11,0,
0.113,0.35,0.113,36.19,0.113,0,
0.117,0.3501969,0.117,36.19,0.117,0,
0.12,0.36,0.12,36.19,0.12,0,
0.123,0.36,0.123,36.19,0.123,0,
0.127,0.3602054,0.127,36.19,0.127,0,
0.13,0.3703001,0.13,36.19,0.13,0,
0.133,0.38,0.133,36.19,0.133,0,
0.137,0.38,0.137,36.19,0.137,0,
0.14,0.3803083,0.14,36.19,0.14,0,
0.143,0.3901184,0.143,36.19,0.143,0,
0.147,0.4,0.147,36.19,0.147,0,
0.15,0.4,0.15,36.19,0.15,0,
0.153,0.4001269,0.153,36.19,0.153,0,
0.157,0.4102307,0.157,36.19,0.157,0,
0.16,0.42,0.16,36.19,0.16,0,
0.163,0.42,0.163,36.19,0.163,0,
0.167,0.4204783,0.167,36.19,0.167,0,
0.17,0.4403329,0.17,36.19,0.17,0,
0.173,0.45,0.173,36.19,0.173,0,
0.177,0.45,0.177,36.18975,0.177,0,
0.18,0.4510233,0.18,36.18,0.18,0,
0.183,0.4801522,0.183,36.18,0.183,0,
0.187,0.49,0.187,36.18026,0.187,0,
0.19,0.49,0.19,36.18965,0.19,0,
0.193,0.4903215,0.193,36.18,0.193,0,
0.197,0.5102645,0.197,36.18,0.197,0,
0.2,0.52,0.2,36.17964,0.2,0,
0.203,0.5201692,0.203,36.17,0.203,0,
0.207,0.530546,0.207,36.17,0.207,0,
0.21,0.5503657,0.21,36.17,0.21,0,
0.213,0.56,0.213,36.17,0.213,0,
0.217,0.5602815,0.217,36.16972,0.217,0,
0.22,0.570374,0.22,36.16,0.22,0,
0.223,0.58,0.223,36.16,0.223,0,
0.227,0.58,0.227,36.16,0.227,0,
0.23,0.5803822,0.23,36.15962,0.23,0,
0.233,0.5901945,0.233,36.15,0.233,0,
0.237,0.6,0.237,36.15,0.237,0,
0.24,0.6,0.24,36.15,0.24,0,
0.243,0.600203,0.243,36.15,0.243,0,
0.247,0.61,0.247,36.15,0.247,0,
0.25,0.61,0.25,36.15,0.25,0,
0.253,0.61,0.253,36.14979,0.253,0,
0.257,0.6106308,0.257,36.14,0.257,0,
0.26,0.6304068,0.26,36.14,0.26,0,
0.263,0.64,0.263,36.13978,0.263,0,
0.267,0.64,0.267,36.13,0.267,0,
0.27,0.640415,0.27,36.13,0.27,0,
0.273,0.65,0.273,36.13,0.273,0,
0.277,0.65,0.277,36.13,0.277,0,
0.28,0.65,0.28,36.12958,0.28,0,
0.283,0.65,0.283,36.12,0.283,0,
0.287,0.6503407,0.287,36.12,0.287,0,
0.29,0.66,0.29,36.12,0.29,0,
0.293,0.66,0.293,36.11975,0.293,0,
0.297,0.66,0.297,36.11,0.297,0,
0.3,0.66,0.3,36.11,0.3,0,
0.303,0.66,0.303,36.11,0.303,0,
0.307,0.66,0.307,36.11,0.307,0,
0.31,0.66,0.31,36.11,0.31,0,
0.313,0.66,0.313,36.11,0.313,0,
0.317,0.66,0.317,36.10963,0.317,0,
0.32,0.6595439,0.32,36.1,0.32,0,
0.323,0.65,0.323,36.1,0.323,0,
0.327,0.65,0.327,36.1,0.327,0,
0.33,0.65,0.33,36.09953,0.33,0,
0.333,0.6497208,0.333,36.09,0.333,0,
0.337,0.64,0.337,36.09,0.337,0,
0.34,0.64,0.34,36.09,0.34,0,
0.343,0.64,0.343,36.09,0.343,0,
0.347,0.6396086,0.347,36.08961,0.347,0,
0.35,0.63,0.35,36.08,0.35,0,
0.353,0.63,0.353,36.08,0.353,0,
0.357,0.63,0.357,36.0796,0.357,0,
0.36,0.63,0.36,36.07,0.36,0,
0.363,0.63,0.363,36.07,0.363,0,
0.367,0.63,0.367,36.07,0.367,0,
0.37,0.63,0.37,36.07,0.37,0,
0.373,0.629687,0.373,36.07,0.373,0,
0.377,0.62,0.377,36.07,0.377,0,
0.38,0.62,0.38,36.0695,0.38,0,
0.383,0.6196786,0.383,36.06,0.383,0,
0.387,0.6095747,0.387,36.06,0.387,0,
0.39,0.5994865,0.39,36.06,0.39,0,
0.393,0.59,0.393,36.05967,0.393,0,
0.397,0.59,0.397,36.05,0.397,0,
0.4,0.5889564,0.4,36.05,0.4,0,
0.403,0.57,0.403,36.05,0.403,0,
0.407,0.57,0.407,36.05,0.407,0,
0.41,0.57,0.41,36.04947,0.41,0,
0.413,0.5696532,0.413,36.04,0.413,0,
0.417,0.56,0.417,36.04,0.417,0,
0.42,0.56,0.42,36.04,0.42,0,
0.423,0.5592895,0.423,36.04,0.423,0,
0.427,0.5395409,0.427,36.04,0.427,0,
0.43,0.53,0.43,36.04,0.43,0,
0.433,0.53,0.433,36.03964,0.433,0,
0.437,0.5295324,0.437,36.03,0.437,0,
0.44,0.5194454,0.44,36.03,0.44,0,
0.443,0.51,0.443,36.03,0.443,0,
0.447,0.51,0.447,36.02952,0.447,0,
0.45,0.5094371,0.45,36.02,0.45,0,
0.453,0.5,0.453,36.02,0.453,0,
0.457,0.5,0.457,36.02,0.457,0,
0.46,0.5,0.46,36.02,0.46,0,
0.463,0.4996108,0.463,36.02,0.463,0,
0.467,0.49,0.467,36.02,0.467,0,
0.47,0.49,0.47,36.01942,0.47,0,
0.473,0.49,0.473,36.01,0.473,0,
0.477,0.49,0.477,36.01,0.477,0,
