
---------- Begin Simulation Statistics ----------
simSeconds                                   4.689538                       # Number of seconds simulated (Second)
simTicks                                 4689537754500                       # Number of ticks simulated (Tick)
finalTick                                4689537754500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2995.73                       # Real time elapsed on the host (Second)
hostTickRate                               1565404793                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2509928                       # Number of bytes of host memory used (Byte)
simInsts                                    500000000                       # Number of instructions simulated (Count)
simOps                                      508693330                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   166904                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     169806                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       9379075510                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              18.660992                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.053588                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       780481495                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       28                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      720979679                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 616022                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            271788096                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         796751024                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  12                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2850395364                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.252940                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.674749                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2378800015     83.46%     83.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 314289718     11.03%     94.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  95951380      3.37%     97.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  36484568      1.28%     99.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  20466257      0.72%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3024229      0.11%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1307189      0.05%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     71874      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       134      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2850395364                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
