
---------- Begin Simulation Statistics ----------
simSeconds                                   4.107445                       # Number of seconds simulated (Second)
simTicks                                 4107444809000                       # Number of ticks simulated (Tick)
finalTick                                4107444809000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2983.13                       # Real time elapsed on the host (Second)
hostTickRate                               1376890110                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2284196                       # Number of bytes of host memory used (Byte)
simInsts                                    500000000                       # Number of instructions simulated (Count)
simOps                                      501371909                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   167609                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     168069                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       8214889619                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                              16.429779                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.060865                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       761682118                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       27                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      734011314                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     68                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            260310213                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         570382269                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  11                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          3555912922                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.206420                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.521705                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2996054343     84.26%     84.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 404215432     11.37%     95.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 137139947      3.86%     99.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  18497442      0.52%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      5337      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                       283      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                        81      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        43      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        14      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            3555912922                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      0.00% # attempts to use FU when none available (Count)
